	3J5P_A.TRPV1	3J9J_A.TRPV1	5AN8_A.TRPV2	5IRX_A.TRPV1	5IRZ_B.TRPV1	5T4D_A.PKD2	5VKQ_A.NOMPC	5WJ9_A.TRPML1	5WPQ_A.TRPML1	5WPV_A.TRPML1	5Z1W_A.PKD2L1	5Z96_A.TRPC4	5Z96_B.TRPC4	5ZX5_A.TRPM7	6A70_A.PKD2	6A70_B.PKD1	6A70_F.PKD2	6A70_G.PKD2	6AEI_A.TRPC5	6AYF_A.TRPML3	6BBJ_A.TRPV4	6BCO_A.TRPM4	6BO5_A.TRPV2	6BO8_A.TRPV6	6BQR_A.TRPM4	6BQV_A.TRPM4	6BWD_A.TRPM7	6CO7_A.TRPM2	6CUD_A.TRPC3	6DRJ_A.TRPM2	6E2G_A.TRPV6	6E7P_A.TRPML1	6G1K_A.TRPC4	6JZO_A.TRPC4	6JZO_B.TRPC4	6LGP_A.TRPV3	6MHO_A.TRPV3	6MHS_A.TRPV3	6MHV_A.TRPV3	6MIX_A.TRPM2	6NR3_A.TRPM8	6O1N_A.TRPV5	6O1P_A.TRPV5	6O20_A.TRPV5	6O6A_A.TRPM8	6O6R_A.TRPM8	6O72_A.TRPM8	6O77_A.TRPM8	6PQO_A.TRPA1	6PUO_A.TRPM2	6PW4_A.TRP1	6PW4_B.TRP1	6PW5_A.TRP1	6PW5_B.TRP1	6T9N_A.PKD2	6T9O_A.PKD2	6U88_A.TRPV2	6U8A_A.TRPV2	6UZ8_A.TRPC6	6UZA_A.TRPC6	6WHG_A.TRPY	6WJ5_A.TRPA1	6WKN_A.TRPV2	6X2J_A.TRPA1	7AA5_A.TRPV4	7B0J_A.TRPC4	7B16_A.TRPC4	7B1G_B.TRPC4	7D4P_A.TRPC5	7D7E_A.PKD1L3	7D7F_A.PKD1L3	7D7F_B.PKD2L1	7D7F_D.PKD2L1	7DXB_A.TRPC3	7DXC_A.TRPC3	7DXF_A.TRPC6	7DXG_A.TRPC6	7DYS_A.TRPML2	7JUP_A.TRPA1	7K4A_A.TRPV6	7K4B_A.TRPV6	7L2H_A.TRPV1	7L2N_A.TRPV1	7L2P_A.TRPV1	7L2R_A.TRPV1	7L2S_A.TRPV1	7L2T_A.TRPV1	7L2W_A.TRPV1	7LP9_A.TRPV1	7LPA_A.TRPV1	7LPC_A.TRPV1	7LPD_A.TRPV1	7LQY_A.TRPV1	7LQZ_A.TRPV1	7MBP_A.TRPM5	7MBQ_A.TRPM5	7MGL_A.TRPML1	7MIJ_A.TRPV3	7MIK_A.TRPV3	7MIO_A.TRPV3	7MZ5_A.TRPV1	7MZ9_A.TRPV1	7MZC_A.TRPV1	7MZD_A.TRPV1	7N0M_A.TRPV2	7RQU_A.TRPV1	7RQV_A.TRPV1	7RQX_A.TRPV1	7RQY_A.TRPV1	7S88_A.TRPV6	7S89_A.TRPV6	7S8B_A.TRPV6	7SQ6_A.TRPML1	7SQ7_A.TRPML1	7SQ9_A.TRPML1	7T6M_A.TRPV5	7T6O_A.TRPV5	7UGG_A.TRPV3	7WDB_A.TRPC5	7WRE_A.TRPM8
NOMPC	0.79093	0.78298	0.79647	0.75966	0.7803	0.43969	1.0	0.44996	0.47068	0.47942	0.38349	0.77568	0.78133	0.78129	0.44869	0.43677	0.44068	0.43396	0.76544	0.46255	0.55547	0.75276	0.72547	0.74758	0.74869	0.74277	0.78044	0.71757	0.69122	0.61882	0.73619	0.44921	0.78717	0.7742	0.78114	0.78054	0.81237	0.79611	0.80079	0.70449	0.78046	0.73334	0.7324	0.73303	0.72681	0.72523	0.73296	0.80952	0.71379	0.7254	0.75191	0.81174	0.74892	0.73665	0.43671	0.43664	0.80107	0.77576	0.72856	0.71756	0.69341	0.72339	0.81818	0.73719	0.71178	0.77662	0.78786	0.77186	0.764	0.3803	0.37361	0.38671	0.4159	0.69662	0.6966	0.76563	0.74621	0.4901	0.73334	0.74193	0.75235	0.77932	0.77946	0.77916	0.7833	0.78571	0.77813	0.76884	0.7819	0.78365	0.78299	0.77853	0.75097	0.7762	0.73694	0.73589	0.45247	0.75084	0.74903	0.73415	0.7762	0.78959	0.78652	0.78158	0.78888	0.78739	0.78156	0.77518	0.7649	0.72806	0.75183	0.73087	0.45847	0.46246	0.45553	0.73069	0.73971	0.77439	0.76333	0.75829
PKD1	0.55239	0.54057	0.56071	0.56034	0.5469	0.72789	0.45428	0.54226	0.56626	0.56743	0.68697	0.48296	0.4886	0.46779	0.71197	1.0	0.74297	0.73598	0.49666	0.57057	0.38196	0.43971	0.52454	0.56973	0.43911	0.43122	0.47006	0.43282	0.51876	0.3927	0.54652	0.55314	0.49405	0.48072	0.48597	0.53929	0.53802	0.53391	0.54384	0.41185	0.5061	0.56788	0.55821	0.54244	0.49841	0.50452	0.50526	0.50245	0.57325	0.44457	0.52519	0.5539	0.49455	0.48873	0.72597	0.72222	0.5551	0.54567	0.50653	0.51063	0.55615	0.54791	0.55559	0.55787	0.54137	0.48179	0.49534	0.48133	0.50082	0.66129	0.65829	0.68708	0.70453	0.5079	0.51127	0.50841	0.50748	0.60178	0.55797	0.58303	0.57533	0.55145	0.54738	0.5412	0.56367	0.56086	0.55866	0.56531	0.54349	0.55604	0.55955	0.54683	0.53234	0.54559	0.43762	0.4504	0.56144	0.54136	0.54057	0.54373	0.53766	0.55125	0.551	0.53778	0.54023	0.5273	0.5585	0.55576	0.56557	0.54315	0.5637	0.56573	0.54078	0.56962	0.54151	0.55088	0.54016	0.55188	0.49893	0.49342
PKD1L3	0.52722	0.521275	0.5122450000000001	0.50693	0.5260450000000001	0.770015	0.42858	0.5967549999999999	0.65081	0.6532150000000001	0.8097799999999999	0.442035	0.44715	0.473445	0.77061	0.7224250000000001	0.78279	0.786195	0.453885	0.62487	0.35584	0.46899	0.48255000000000003	0.54298	0.45481499999999997	0.44982	0.477255	0.43587	0.487655	0.39965	0.54934	0.6357999999999999	0.45596000000000003	0.440955	0.445515	0.522255	0.536075	0.530735	0.52347	0.445755	0.44416999999999995	0.553845	0.5373399999999999	0.5399	0.40288999999999997	0.408455	0.40534499999999996	0.50859	0.5499700000000001	0.447245	0.41747	0.482415	0.41544	0.416825	0.754535	0.760345	0.522625	0.526905	0.476805	0.48123499999999997	0.45352000000000003	0.535455	0.52183	0.537585	0.526825	0.43779	0.46213000000000004	0.439445	0.46258	0.98365	0.9889950000000001	0.825	0.826785	0.481125	0.478775	0.47750499999999996	0.474685	0.6831050000000001	0.53493	0.555685	0.550965	0.517925	0.508605	0.52216	0.53578	0.53505	0.535935	0.511855	0.5262	0.523225	0.5275799999999999	0.50841	0.502905	0.514915	0.44606	0.44394500000000003	0.63931	0.5318849999999999	0.529895	0.5203899999999999	0.5088900000000001	0.52121	0.5171049999999999	0.5192049999999999	0.5104	0.52156	0.5161199999999999	0.5127900000000001	0.5076499999999999	0.54045	0.536125	0.537755	0.596365	0.6369199999999999	0.594895	0.53315	0.54071	0.5437449999999999	0.460785	0.4897
PKD2	0.6769666666666666	0.6673333333333332	0.664065	0.6732016666666666	0.6719166666666666	0.9654799999999999	0.5208466666666668	0.650215	0.6741183333333334	0.6762800000000001	0.90976	0.5705183333333332	0.5776	0.5456433333333334	0.94617	0.8286883333333334	0.9736216666666667	0.9686566666666666	0.5843433333333333	0.669255	0.432795	0.5188166666666667	0.6193083333333332	0.6865199999999999	0.5159933333333334	0.5074183333333333	0.5472116666666667	0.49847166666666665	0.5879616666666666	0.4334916666666666	0.6754516666666666	0.65956	0.5793483333333334	0.5690333333333333	0.57594	0.6483116666666667	0.6666466666666666	0.6694666666666667	0.6513533333333333	0.50902	0.5562933333333332	0.6761133333333333	0.67064	0.6705033333333333	0.542655	0.5479566666666666	0.553735	0.581005	0.67179	0.4953	0.5625616666666666	0.64935	0.5400966666666666	0.5392199999999999	0.9514783333333333	0.9527800000000001	0.6657016666666666	0.6558283333333333	0.5836450000000001	0.5835316666666667	0.60481	0.6634099999999999	0.6713049999999999	0.6692683333333332	0.5918566666666666	0.5629883333333333	0.5816433333333334	0.5648216666666667	0.5862933333333333	0.7984416666666666	0.7958	0.8941566666666668	0.9235366666666668	0.58268	0.5755950000000001	0.5977566666666666	0.5798866666666667	0.717375	0.6684733333333334	0.6909633333333334	0.687145	0.66469	0.658365	0.6685016666666668	0.6793666666666667	0.6744266666666667	0.6730849999999999	0.6715016666666668	0.6686816666666666	0.6681183333333333	0.6713716666666666	0.6656183333333333	0.6443466666666666	0.6573933333333334	0.5070016666666667	0.5143766666666668	0.6674466666666667	0.6277183333333334	0.6322949999999999	0.6318983333333333	0.6473333333333334	0.666855	0.6651033333333333	0.6555216666666667	0.6614866666666667	0.666205	0.6674933333333334	0.6674283333333332	0.6682883333333333	0.6737233333333333	0.6807449999999999	0.669825	0.6469349999999999	0.675275	0.6456316666666666	0.66388	0.6657799999999999	0.6343433333333334	0.58543	0.5496783333333334
PKD2L1	0.5621866666666667	0.55113	0.56589	0.5544333333333333	0.5585133333333333	0.8940466666666668	0.45143666666666665	0.6040866666666668	0.6274866666666666	0.6318766666666668	0.9815866666666667	0.47752	0.48322333333333334	0.48138	0.8498466666666666	0.7610800000000001	0.8876866666666666	0.8900800000000001	0.48819000000000007	0.6186066666666666	0.34984333333333334	0.46158666666666665	0.5199833333333332	0.5792499999999999	0.4493133333333334	0.44179999999999997	0.48549333333333333	0.44112666666666667	0.5195533333333334	0.39436999999999994	0.5811633333333334	0.6208333333333333	0.48723	0.4753433333333333	0.48076	0.5407766666666666	0.5690333333333334	0.5587366666666668	0.5548399999999999	0.43385999999999997	0.4744833333333333	0.5862933333333333	0.5675766666666667	0.5694533333333333	0.45364999999999994	0.4564599999999999	0.4602933333333334	0.5106466666666667	0.5805333333333333	0.4326033333333334	0.46086	0.5350433333333334	0.4498933333333333	0.45104999999999995	0.8671433333333334	0.87156	0.5700666666666666	0.5762733333333333	0.5065166666666666	0.5142966666666666	0.5042666666666666	0.5622733333333333	0.56553	0.5644566666666667	0.5289466666666667	0.47258666666666665	0.49886	0.4746266666666667	0.4941633333333333	0.8201499999999999	0.8219200000000001	0.9556766666666666	0.9568766666666667	0.5095900000000001	0.5046566666666666	0.50792	0.5110100000000001	0.6697933333333334	0.5601133333333332	0.58624	0.5818633333333333	0.5499233333333333	0.5421466666666667	0.55357	0.57818	0.5727333333333333	0.5836666666666667	0.5614933333333334	0.5621733333333333	0.5635566666666666	0.5645133333333333	0.5480266666666667	0.5313133333333333	0.5520833333333334	0.44553666666666664	0.44585	0.6259899999999999	0.5434366666666667	0.5474866666666666	0.5456933333333334	0.5453800000000001	0.5555933333333333	0.5551433333333333	0.5587666666666667	0.5624433333333333	0.5613833333333332	0.55927	0.55445	0.5558166666666667	0.56783	0.57262	0.5666866666666667	0.60047	0.62362	0.6007300000000001	0.5617233333333334	0.56885	0.54998	0.4922866666666666	0.48993333333333333
TRP1	0.7263624999999999	0.7151	0.72665	0.72058	0.7169525	0.3904725	0.6382099999999999	0.4007525	0.41598	0.418095	0.3219975	0.6840075	0.6924075000000001	0.6410800000000001	0.4043125	0.4179	0.40468499999999996	0.39851	0.6962375	0.41159750000000006	0.49515000000000003	0.5914250000000001	0.6914175	0.6804174999999999	0.5930650000000001	0.5835525	0.6399325	0.59373	0.639215	0.53799	0.6745850000000001	0.40122	0.69017	0.6835675000000001	0.6919274999999999	0.70577	0.726905	0.71972	0.7192124999999999	0.5769075	0.7167275000000001	0.6776374999999999	0.6760725	0.6736175	0.6978000000000001	0.6947075	0.7087425	0.674045	0.63005	0.6121449999999999	0.9258375000000001	0.953325	0.89683	0.9003749999999999	0.40319249999999995	0.4006799999999999	0.73151	0.7179875	0.64508	0.6388825	0.6650625	0.62629	0.7286525	0.6424000000000001	0.6735450000000001	0.6769974999999999	0.6938275	0.6800425	0.6944525000000001	0.3273625	0.31821499999999997	0.34395	0.37323	0.6388125	0.63887	0.6861	0.6660174999999999	0.431995	0.63579	0.6867025	0.6851525	0.7144125	0.7202275	0.7160424999999999	0.7194425	0.718205	0.7214775	0.7262474999999999	0.7167625	0.7225525	0.7198800000000001	0.7275999999999999	0.6901999999999999	0.7097600000000001	0.5928625000000001	0.6212775	0.404845	0.687135	0.6872024999999999	0.6892	0.7158475	0.7190625	0.7223649999999999	0.7203600000000001	0.73133	0.7213975	0.723985	0.7238	0.7277975	0.6814975	0.6832875	0.6775625000000001	0.40708750000000005	0.412445	0.4034	0.6798200000000001	0.6746500000000001	0.6917800000000001	0.6947975	0.6563875
TRPA1	0.737045	0.72712	0.70311	0.7421500000000001	0.726785	0.4443125	0.5787825	0.4359075	0.45435000000000003	0.4524675	0.38363	0.586335	0.5934250000000001	0.59481	0.43920750000000003	0.42656	0.446315	0.4396025	0.59957	0.4447225	0.4918775	0.5930025	0.6753025	0.7302675	0.587785	0.5773175	0.5967325	0.5423975	0.5631200000000001	0.48416250000000005	0.69581	0.43434	0.5949075	0.5851975	0.59185	0.718295	0.7504975	0.7393399999999999	0.73282	0.5490674999999999	0.5905775	0.6996275000000001	0.6935775000000001	0.6912475	0.5790175	0.581665	0.5839175	0.64383	0.9454575000000001	0.5404349999999999	0.59535	0.67459	0.5711499999999999	0.5673225000000001	0.441365	0.4376175	0.7145425	0.7008350000000001	0.562605	0.567855	0.63688	0.9817950000000001	0.71999	0.9912575	0.6832275	0.5786575	0.5920274999999999	0.5803775	0.6037975	0.3824225	0.37442	0.390635	0.40254499999999993	0.557915	0.559605	0.6004625	0.593935	0.48133249999999994	0.9903825	0.719625	0.71437	0.717835	0.7158074999999999	0.7214725	0.735265	0.7249725	0.730295	0.7373175	0.72071	0.72471	0.7235499999999999	0.724885	0.6967775	0.7120075	0.5755275	0.5756100000000001	0.44364000000000003	0.6917625	0.6996425	0.7122025000000001	0.7044999999999999	0.7193049999999999	0.7214475	0.709105	0.715215	0.7203125	0.7260975000000001	0.7289775	0.7387575	0.7033325	0.725895	0.69093	0.44796499999999995	0.4511075	0.4460175	0.6986675000000001	0.6900575	0.710875	0.6042925	0.6186575
TRPC3	0.7952633333333333	0.7978033333333333	0.8128933333333334	0.78839	0.7908200000000001	0.49538333333333334	0.71251	0.46256	0.4855066666666666	0.48445333333333335	0.43860666666666664	0.8644566666666668	0.8755166666666666	0.7342666666666666	0.5065166666666666	0.5049333333333333	0.5100533333333334	0.5021999999999999	0.8908666666666667	0.47127	0.5494466666666667	0.6750233333333333	0.7576633333333334	0.7638566666666667	0.67706	0.66495	0.7302833333333333	0.66665	0.9797733333333333	0.5809933333333333	0.7575033333333333	0.46608	0.87796	0.8660200000000001	0.87685	0.7884733333333332	0.8257933333333334	0.81907	0.8101333333333334	0.6361933333333333	0.7658	0.7522700000000001	0.7514966666666666	0.7500933333333334	0.7558466666666667	0.7594933333333334	0.76831	0.7565133333333334	0.7236033333333335	0.6516733333333332	0.7868400000000001	0.8260166666666665	0.7612566666666667	0.7580766666666667	0.5052766666666667	0.50104	0.8132199999999999	0.80477	0.9488500000000001	0.9528833333333333	0.7628133333333332	0.7155733333333333	0.8141166666666667	0.7222733333333333	0.6946533333333332	0.8582899999999999	0.87179	0.86645	0.8895466666666666	0.4390266666666667	0.43300000000000005	0.45743	0.48003666666666667	0.9738733333333333	0.9825699999999999	0.9481766666666668	0.9526866666666667	0.4881433333333334	0.7230266666666667	0.7652399999999999	0.77073	0.7876233333333333	0.7814866666666666	0.7906000000000001	0.8001133333333333	0.7952400000000001	0.8099866666666666	0.7867633333333334	0.7937166666666666	0.7861866666666667	0.7927166666666667	0.78721	0.7671166666666668	0.77615	0.6764966666666666	0.6879566666666667	0.4710366666666667	0.7579033333333333	0.7637233333333332	0.7557966666666668	0.7828133333333334	0.7821033333333333	0.78497	0.7896066666666668	0.8196	0.78473	0.7825000000000001	0.7869666666666667	0.7825066666666668	0.75555	0.7597833333333334	0.7686866666666665	0.4675233333333333	0.4813433333333333	0.46564000000000005	0.7480133333333333	0.7435633333333334	0.7594799999999999	0.8902533333333333	0.7380066666666667
TRPC4	0.83777	0.83506625	0.8353275	0.81894875	0.8320112499999999	0.45689625	0.75392125	0.45247500000000007	0.47055749999999996	0.47283250000000004	0.38413375	0.972275	0.9818925000000001	0.77816875	0.47385625000000003	0.452865	0.46732375000000004	0.46009875000000006	0.9708062500000001	0.45791375	0.55588375	0.7079625	0.7869837500000001	0.77805875	0.7167749999999999	0.70525625	0.7756862500000001	0.7022387499999999	0.81102125	0.59602625	0.776395	0.45194125	0.97622125	0.97432125	0.9840262500000001	0.8189825	0.83789625	0.84420125	0.82640375	0.6766300000000001	0.8001375	0.77681125	0.78140375	0.781235	0.75902125	0.76180375	0.77360125	0.7913612500000001	0.71320375	0.6894312499999998	0.8035925	0.84308	0.77577	0.7599037499999999	0.46969875000000005	0.466805	0.8380624999999999	0.822705	0.84713875	0.8407912500000001	0.7394112500000001	0.70895125	0.84352625	0.7171912500000001	0.7049624999999999	0.9615437499999999	0.9719537500000001	0.96927625	0.96421125	0.38748125	0.37774625	0.40516499999999994	0.43449250000000006	0.8244612500000001	0.81804625	0.90278375	0.88474875	0.47419375	0.7177437500000001	0.779255	0.78999	0.82995375	0.8219099999999999	0.83394125	0.8345975	0.8327462499999999	0.83294625	0.81680125	0.8335737500000001	0.8261962499999999	0.83323375	0.8266625000000001	0.8129624999999999	0.8175425	0.71516375	0.725655	0.45630375	0.78071625	0.78799625	0.77465875	0.8140762500000001	0.8278175	0.8265375	0.82053875	0.8324075	0.8254962499999999	0.8208712500000002	0.82134125	0.81224625	0.7719875	0.77847625	0.7806575	0.45526374999999997	0.46658999999999995	0.45297750000000003	0.7768412499999999	0.777005	0.7887425	0.9658399999999999	0.7595937500000001
TRPC5	0.8228666666666666	0.8203533333333333	0.8115799999999999	0.80282	0.8182266666666665	0.4557233333333333	0.7204033333333334	0.44823999999999997	0.4658066666666667	0.46749666666666667	0.38182999999999995	0.9331766666666667	0.9456199999999999	0.7611466666666665	0.46912333333333334	0.45274333333333333	0.46462333333333333	0.4576766666666667	0.9927633333333333	0.4529733333333333	0.5452899999999999	0.6892666666666667	0.76912	0.7707166666666666	0.69871	0.6861966666666667	0.7558600000000001	0.6855633333333332	0.8147033333333332	0.5792299999999999	0.76419	0.44686000000000003	0.9497599999999999	0.93748	0.9496699999999999	0.80381	0.8296166666666668	0.8363066666666666	0.81827	0.6579033333333334	0.7762866666666667	0.7621199999999999	0.7663633333333334	0.7655066666666667	0.7566933333333333	0.75764	0.7677033333333334	0.79645	0.7156566666666667	0.6704166666666667	0.7926833333333333	0.8341833333333333	0.7626433333333335	0.7509366666666667	0.4684033333333333	0.46396	0.8182899999999999	0.80082	0.8205566666666666	0.8211266666666667	0.7441033333333333	0.7103233333333333	0.8261533333333334	0.7166733333333334	0.6953666666666667	0.9310300000000001	0.93775	0.9369999999999999	0.9925933333333333	0.38885	0.37934333333333337	0.4042766666666667	0.4323033333333333	0.8178166666666667	0.8114466666666665	0.88238	0.86701	0.4673533333333333	0.7183666666666667	0.7723966666666667	0.7817833333333333	0.8142933333333334	0.80206	0.8187233333333334	0.8210066666666668	0.8187266666666666	0.8190666666666667	0.7979133333333334	0.8189433333333334	0.8084699999999999	0.8189566666666667	0.81046	0.80131	0.8004133333333333	0.6983666666666667	0.7072566666666668	0.45195	0.7676533333333334	0.7735266666666666	0.76228	0.7937033333333332	0.80782	0.8064866666666667	0.8012966666666667	0.81372	0.8070233333333333	0.8038433333333334	0.8035333333333333	0.7947033333333332	0.7637166666666667	0.7722833333333333	0.7709833333333332	0.4514466666666666	0.46207333333333334	0.4495733333333334	0.76209	0.76171	0.7791233333333333	0.9961933333333333	0.7631766666666667
